"Data file recorded 2014/9/24  14:16:57"
"%  Right Stride Frequency         = 9.0"
"%  Left Stride Frequency         = 9.0"
"%  Phase (Fractional)         = 32768.0"
"%  Experiment.py "
"%  Motor Gains    = [1800, 200, 100, 0, 0, 1800, 200, 100, 0, 0]
"% Columns: "
"% time | Right Leg Pos | Left Leg Pos | Commanded Right Leg Pos | Commanded Left Leg Pos | DCR | DCL | GyroX | GryoY | GryoZ | AX | AY | AZ | RBEMF | LBEMF | VBatt "
64001,34977456,36008692,34979108,36060452,1491,3800,2341,-1289,1605,2279,-1019,2939,91,162,834
65009,34977948,36009616,34979736,36061080,1376,3800,2643,-1510,1696,2245,-1187,3055,91,162,834
66004,34978432,36010508,34980342,36061686,1480,3800,2935,-1586,1815,1794,-1762,3540,110,168,833
67004,34978820,36011540,34980948,36062292,2177,3800,3210,-1423,1971,870,-2448,4308,110,168,833
68006,34979352,36012504,34981554,36062898,1309,3800,3440,-1000,2113,214,-2813,4942,87,171,836
69006,34979768,36013420,34982160,36063504,2118,3800,3696,-453,2223,-268,-2748,5023,87,171,836
70007,34980188,36014332,34982766,36064110,2175,3800,3903,240,2359,-554,-2818,5713,91,194,832
71008,34980664,36015244,34983372,36064716,1883,3800,4121,946,2490,-606,-2620,5334,91,194,832
72009,34981024,36016168,34983978,36065322,2717,3800,4346,1621,2611,-516,-2482,4983,96,179,832
73010,34981404,36017116,34984584,36065928,2691,3800,4571,2124,2724,-231,-2598,4414,96,179,832
74012,34981852,36017972,34985190,36066534,2336,3800,4797,2494,2826,188,-2472,3541,89,168,833
75012,34982200,36018812,34985796,36067140,3076,3800,4967,2557,2910,855,-2116,2733,89,168,833
76013,34982580,36019584,34986402,36067746,2975,3800,5179,2388,2911,1474,-1286,1679,77,161,829
77014,34982984,36020352,34987008,36068352,2915,3800,5360,2033,2870,1822,-312,1116,77,161,829
78015,34983392,36021044,34987614,36068958,2978,3800,5565,1585,2739,1923,431,604,97,159,827
79016,34983792,36021760,34988220,36069564,3119,3800,5733,1153,2570,1799,188,865,97,159,827
80017,34984204,36022420,34988826,36070170,3130,3800,5857,889,2339,1762,582,872,100,131,827
81018,34984600,36023068,34989432,36070776,3323,3800,5891,656,1975,1833,1104,843,100,131,827
82020,34985012,36023668,34990038,36071382,3309,3800,5821,475,1543,1677,1209,955,75,142,823
83020,34985412,36024276,34990644,36071988,3476,3800,5670,266,989,1472,2020,773,75,142,823
84022,34985852,36024864,34991250,36072594,3300,3800,5403,-109,187,1082,3060,266,80,114,823
85035,34986224,36025464,34991856,36073200,3800,3800,5028,-609,-888,585,3771,-54,80,114,823
86023,34986636,36025964,34992462,36073806,3665,3800,4559,-1222,-2081,689,3763,-389,77,104,822
87024,34987072,36026488,34993068,36074412,3590,3800,4048,-1795,-3154,1061,3739,-41,77,104,822
88038,34987456,36026964,34993674,36075018,3800,3800,3529,-2120,-3868,1515,2855,703,72,97,819
89039,34987844,36027496,34994280,36075624,3800,3800,2961,-2262,-4175,2476,1929,1199,72,97,819
90040,34988240,36027944,34994886,36076230,3800,3800,2420,-2380,-4214,2989,2170,1436,79,93,819
91041,34988580,36028464,34995492,36076836,3800,3800,2021,-2631,-4238,2633,3348,882,79,93,819
92049,34988928,36028920,34996120,36077464,3800,3800,1759,-3282,-4302,2531,3507,-166,57,102,817
93043,34989252,36029376,34996726,36078070,3800,3800,1585,-4066,-4314,2727,3689,-247,57,102,817
94044,34989556,36029916,34997332,36078676,3800,3800,1429,-4793,-4214,2816,3775,69,61,100,815
95045,34989856,36030476,34997938,36079282,3800,3800,1279,-5220,-3949,3288,2922,1396,61,100,815
96046,34990140,36030920,34998544,36079888,3800,3800,1092,-5094,-3503,2972,1295,3391,69,93,817
97047,34990392,36031396,34999150,36080494,3800,3800,918,-4589,-2960,2044,625,4131,69,93,817
98048,34990576,36031920,34999756,36081100,3800,3800,736,-3989,-2498,1420,209,4586,35,108,816
99049,34990800,36032500,35000362,36081706,3800,3800,412,-3098,-2135,1339,15,5883,35,108,816
100050,34990992,36033148,35000968,36082312,3800,3800,-231,-1509,-1692,1564,-775,8452,40,123,817
101051,34991160,36033828,35001574,36082918,3800,3800,-907,323,-1251,1030,-843,8467,40,123,817
102052,34991284,36034496,35002180,36083524,3800,3800,-1287,1763,-1010,26,70,7559,33,147,818
103053,34991400,36035160,35002786,36084130,3800,3800,-1542,2887,-885,0,104,7765,33,147,818
104054,34991496,36035800,35003392,36084736,3800,3800,-1889,4096,-1016,333,1656,8265,16,120,816
105055,34991604,36036492,35003998,36085342,3800,3800,-2259,5356,-1172,508,1611,7884,16,120,816
106056,34991748,36037208,35004604,36085948,3800,3800,-2445,6207,-1222,571,1878,6600,29,143,817
107057,34991864,36037904,35005210,36086554,3800,3800,-2458,6646,-1310,371,2602,6249,29,143,817
108058,34991992,36038584,35005816,36087160,3800,3800,-2414,6930,-1555,371,3692,6082,26,138,817
109059,34992160,36039300,35006422,36087766,3800,3800,-2410,7082,-1964,740,3901,5587,26,138,817
110060,34992360,36040016,35007028,36088372,3800,3800,-2450,6917,-2351,919,2703,4975,36,146,818
111061,34992544,36040828,35007634,36088978,3800,3800,-2508,6695,-2603,884,2427,6086,36,146,818
112062,34992736,36041472,35008240,36089584,3800,3800,-2509,6573,-2815,1873,3046,7861,50,136,818
113063,34992900,36042136,35008846,36090190,3800,3800,-2385,6538,-3080,3195,3952,9327,50,136,818
114064,34993112,36042744,35009452,36090796,3800,3800,-2154,6578,-3424,4628,3846,12006,31,126,817
115065,34993300,36043328,35010058,36091402,3800,3800,-1859,6848,-3757,5622,3600,14278,31,126,817
116066,34993548,36043912,35010664,36092008,3800,3800,-1556,7422,-3885,4716,2563,15896,52,114,816
117067,34993804,36044440,35011270,36092614,3800,3800,-1213,8199,-3902,2930,1335,16552,52,114,816
118068,34994108,36044940,35011876,36093220,3800,3800,-797,8819,-3937,672,651,15646,59,97,818
119078,34994356,36045420,35012504,36093848,3800,3800,-349,9132,-4027,-729,59,14600,59,97,818
120070,34994636,36045864,35013110,36094454,3800,3800,32,9315,-4102,-1266,159,13771,67,100,817
121071,34994960,36046296,35013716,36095060,3800,3800,335,9297,-4097,-1649,567,12174,67,100,817
122072,34995312,36046656,35014322,36095666,3800,3800,627,9137,-4006,-2429,875,10739,69,100,817
123073,34995644,36047076,35014928,36096272,3800,3800,951,8826,-3814,-3643,1090,8972,69,100,817
124074,34995964,36047468,35015534,36096878,3800,3800,1253,8419,-3551,-4824,863,7163,68,94,816
125075,34996376,36047844,35016140,36097484,3800,3800,1484,7942,-3225,-5273,946,5473,68,94,816
126076,34996732,36048232,35016746,36098090,3800,3800,1693,7292,-2814,-4930,1566,4359,80,76,815
127077,34997112,36048584,35017352,36098696,3800,3800,1909,6702,-2374,-4336,1821,4519,80,76,815
128078,34997560,36048932,35017958,36099302,3800,3800,2113,6359,-1942,-4156,1902,4676,85,74,816
129079,34997968,36049220,35018564,36099908,3800,3800,2345,6046,-1567,-4486,2630,4448,85,74,816
130081,34998364,36049536,35019170,36100514,3800,3800,2556,5634,-1290,-4566,3258,4230,76,80,816
131081,34998816,36049832,35019776,36101120,3800,3800,2738,5229,-1113,-4047,3270,3984,76,80,816
