"Data file recorded 2014/9/22  15:29:47"
"%  Right Stride Frequency         = 3.0"
"%  Left Stride Frequency         = 3.0"
"%  Phase (Fractional)         = 32768.0"
"%  Experiment.py "
"%  Motor Gains    = [1800, 200, 100, 0, 0, 1800, 200, 100, 0, 0]
"% Columns: "
"% time | Right Leg Pos | Left Leg Pos | Commanded Right Leg Pos | Commanded Left Leg Pos | DCR | DCL | GyroX | GryoY | GryoZ | AX | AY | AZ | RBEMF | LBEMF | VBatt "
11575,606952,575448,623968,591200,3800,3800,5,131,239,94,-449,4056,-4,-7,916
12569,606956,575452,624165,591397,3800,3800,7,127,238,83,-440,4068,-4,-7,916
13570,607004,575492,624362,591594,3800,3800,7,126,240,68,-431,4072,-10,16,915
14571,607148,575616,624559,591791,3800,3800,8,109,246,78,-551,4058,-10,16,915
15572,607276,575784,624756,591988,3800,3800,10,117,241,72,-806,4095,15,40,873
16573,607456,575968,624953,592185,3800,3800,7,203,199,36,-1126,4235,15,40,873
17574,607676,576200,625150,592382,3800,3800,2,298,158,173,-1217,4395,31,49,873
18575,607948,576504,625347,592579,3800,3800,-17,419,145,324,-1082,4450,31,49,873
19576,608212,576816,625544,592776,3800,3800,-46,522,147,554,-875,4526,66,75,875
20577,608516,577208,625741,592973,3800,3800,-80,640,146,799,-486,4417,66,75,875
21578,608876,577748,625938,593170,3800,3800,-95,691,146,1043,78,4142,64,93,878
22579,609224,578220,626135,593367,3800,3800,-67,683,124,1117,568,3819,64,93,878
23580,609584,578792,626332,593564,3800,3800,-12,563,88,1147,646,3613,93,98,879
24581,609984,579304,626529,593761,3800,3800,75,446,52,1076,542,3601,93,98,879
25582,610368,579868,626726,593958,3800,3800,179,333,15,944,445,3810,95,117,879
26570,610764,580512,626923,594155,3800,3245,277,366,-3,994,466,4235,95,117,879
27571,611200,581100,627120,594352,3800,3426,366,478,48,1198,690,4391,104,121,880
28572,611588,581728,627317,594549,3800,2989,471,647,103,1383,1189,4551,104,121,880
29573,611944,582320,627514,594746,3800,3043,592,890,117,1587,1599,4783,100,133,883
30574,612320,582972,627711,594943,3800,2470,749,1140,85,1601,2098,4693,100,133,883
31575,612652,583536,627908,595140,3800,2861,937,1289,31,1637,2640,4583,94,122,885
32576,612968,584196,628105,595337,3800,2060,1160,1403,-46,1717,3202,4580,94,122,885
33577,613276,584776,628302,595534,3800,2394,1410,1555,-136,1708,3411,4932,63,117,887
