"Data file recorded 2014/9/24  14:25:38"
"%  Right Stride Frequency         = 13.0"
"%  Left Stride Frequency         = 13.0"
"%  Phase (Fractional)         = 32768.0"
"%  Experiment.py "
"%  Motor Gains    = [1800, 200, 100, 0, 0, 1800, 200, 100, 0, 0]
"% Columns: "
"% time | Right Leg Pos | Left Leg Pos | Commanded Right Leg Pos | Commanded Left Leg Pos | DCR | DCL | GyroX | GryoY | GryoZ | AX | AY | AZ | RBEMF | LBEMF | VBatt "
11725,55757596,51178204,55746136,51191384,-3800,3800,501,751,-1137,30,-255,4131,6,5,841
12726,55757620,51178152,55746998,51192246,-3800,3800,500,750,-1138,14,-225,4140,7,-4,841
13714,55757564,51178200,55747860,51193108,-3020,3800,500,767,-1136,41,-210,4135,7,-4,841
14715,55757476,51178224,55748722,51193970,-2404,3800,501,770,-1135,16,-235,4106,-13,-2,841
15716,55757300,51178432,55749584,51194832,-1399,3800,505,757,-1141,48,-26,4137,-13,-2,841
16717,55757088,51178724,55750446,51195694,-704,3800,498,767,-1157,159,64,4201,-30,16,800
17718,55756860,51179084,55751308,51196556,-126,3800,486,784,-1176,363,-47,4118,-30,16,800
18719,55756668,51179512,55752170,51197418,111,3800,452,784,-1214,609,6,3960,-35,41,805
19720,55756524,51179972,55753032,51198280,252,3800,394,757,-1278,826,-149,3994,-35,41,805
20721,55756384,51180396,55753894,51199142,666,3800,296,731,-1353,912,-325,4055,-48,80,817
21722,55756292,51180852,55754756,51200004,786,3800,159,858,-1412,665,-788,4561,-48,80,817
22723,55756216,51181264,55755618,51200866,1098,3800,7,1008,-1488,384,-574,4509,-27,81,822
23724,55756136,51181680,55756480,51201728,1537,3800,-143,1225,-1552,449,-1272,4910,-27,81,822
24725,55756160,51182124,55757342,51202590,1255,3800,-270,1495,-1557,347,-1581,4908,-8,97,821
25726,55756164,51182448,55758204,51203452,1757,3800,-364,1723,-1544,13,-1437,4724,-8,97,821
26727,55756232,51182716,55759066,51204314,1706,3800,-428,1853,-1532,-282,-1449,4445,12,74,820
27728,55756308,51182988,55759928,51205176,2002,3800,-447,1807,-1472,-504,-1487,4083,12,74,820
28729,55756376,51183276,55760790,51206038,2401,3800,-425,1686,-1392,-821,-1490,3921,14,64,814
29749,55756488,51183508,55761658,51206906,3800,3800,-369,1498,-1304,-1159,-1508,3703,14,64,814
30743,55756572,51183652,55762520,51207768,3800,3800,-301,1297,-1210,-1406,-1412,3695,24,56,814
31744,55756748,51183848,55763382,51208630,3800,3800,-217,1092,-1121,-1526,-1360,3648,24,56,814
32745,55757004,51184056,55764244,51209492,3800,3800,-121,845,-1031,-1669,-1294,3626,19,47,811
33747,55757248,51184224,55765106,51210354,3800,3800,-33,586,-952,-1871,-1210,3650,19,47,811
34747,55757524,51184360,55765968,51211216,3800,3800,35,228,-896,-1970,-986,3544,47,40,801
35748,55757936,51184468,55766830,51212078,3800,3800,93,-138,-853,-1920,-969,3638,47,40,801
36749,55758300,51184668,55767692,51212940,3800,3800,150,-512,-790,-1982,-1478,3665,69,35,801
37751,55758692,51184868,55768554,51213802,3800,3800,211,-857,-695,-2175,-2114,3837,69,35,801
38752,55759148,51185072,55769416,51214664,3800,3800,309,-1233,-590,-2325,-2205,3768,82,37,801
39752,55759612,51185256,55770278,51215526,3800,3800,450,-1756,-491,-2127,-1891,3451,82,37,801
40754,55760072,51185424,55771140,51216388,3800,3800,579,-2302,-372,-1782,-1691,3718,99,42,802
41755,55760604,51185612,55772002,51217250,3800,3800,704,-2807,-235,-1317,-1134,3731,99,42,802
42755,55761088,51185808,55772864,51218112,3800,3800,813,-3483,-130,-706,-524,3486,93,50,803
43757,55761584,51186056,55773726,51218974,3800,3800,952,-4190,-36,-368,-443,3234,93,50,803
44757,55762100,51186320,55774588,51219836,3800,3800,1115,-5012,47,104,-69,2775,120,56,804
45759,55762704,51186548,55775450,51220698,3800,3800,1296,-5926,106,776,148,2693,120,56,804
46760,55763148,51186784,55776312,51221560,3800,3800,1452,-6761,190,1386,431,3049,112,51,804
47760,55763700,51186996,55777174,51222422,3800,3800,1622,-7592,263,2472,817,2976,112,51,804
48768,55764212,51187232,55778042,51223290,3800,3800,1825,-8339,269,3342,1063,3719,120,57,803
49762,55764708,51187448,55778904,51224152,3800,3800,2010,-8813,193,3925,1192,4684,120,57,803
50763,55765168,51187680,55779766,51225014,3800,3800,2135,-9028,-26,4543,1504,5748,110,49,803
51764,55765656,51187908,55780628,51225876,3800,3800,2146,-8714,-365,4641,1297,7752,110,49,803
52765,55766132,51188076,55781490,51226738,3800,3800,2097,-8128,-765,4527,1656,7819,111,58,803
53766,55766584,51188244,55782352,51227600,3800,3800,2005,-7433,-1243,4539,2150,8322,111,58,803
54767,55767108,51188448,55783214,51228462,3800,3800,1828,-6460,-1781,4046,2381,8984,105,58,803
55768,55767612,51188664,55784076,51229324,3800,3800,1636,-5431,-2293,3796,2400,8788,105,58,803
56769,55768216,51188888,55784938,51230186,3800,3800,1346,-4180,-2849,4196,3405,9418,110,58,804
57770,55768692,51189116,55785800,51231048,3800,3800,1069,-3026,-3373,4765,3972,8988,110,58,804
58771,55769316,51189328,55786662,51231910,3800,3800,845,-1868,-3855,5319,4199,8902,113,58,804
59772,55769872,51189504,55787524,51232772,3800,3800,667,-947,-4317,5359,4307,7953,113,58,804
60773,55770552,51189720,55788386,51233634,3800,3800,588,-464,-4793,5107,3856,6615,131,59,803
61774,55771256,51189940,55789248,51234496,3800,3800,523,-93,-5245,5010,3000,6538,131,59,803
62775,55771840,51190152,55790110,51235358,3800,3800,507,311,-5604,4946,3007,6321,124,42,803
63776,55772436,51190384,55790972,51236220,3800,3800,515,670,-5821,4943,2877,6105,124,42,803
64777,55773148,51190584,55791834,51237082,3800,3800,618,830,-5981,4524,2895,5245,120,48,806
65778,55773832,51190776,55792696,51237944,3800,3800,774,748,-6185,4068,2922,4584,120,48,806
66779,55774476,51190956,55793558,51238806,3800,3800,937,588,-6477,3499,2609,4378,133,47,805
67787,55775272,51191168,55794426,51239674,3800,3800,1051,503,-6721,2819,1554,4729,133,47,805
68781,55776052,51191340,55795288,51240536,3800,3800,1118,715,-6744,2380,481,5090,138,41,806
69782,55776808,51191552,55796150,51241398,3800,3800,1218,873,-6646,2233,387,4304,138,41,806
70783,55777708,51191712,55797012,51242260,3800,3800,1415,871,-6548,2318,599,3594,152,39,805
71784,55778616,51191844,55797874,51243122,3800,3800,1637,742,-6489,2304,612,3140,152,39,805
72785,55779496,51191988,55798736,51243984,3800,3800,1847,650,-6466,2175,350,3169,157,41,805
73787,55780476,51192144,55799598,51244846,3800,3800,1958,1066,-6445,1872,-71,4522,157,41,805
74788,55781480,51192312,55800460,51245708,3800,3800,1911,2038,-6333,1335,-722,5823,167,36,807
75788,55782396,51192488,55801322,51246570,3800,3800,1713,3614,-6127,715,-1153,7216,167,36,807
76789,55783320,51192632,55802184,51247432,3800,3800,1475,5261,-5856,160,-1290,6867,167,36,808
77790,55784368,51192744,55803046,51248294,3800,3800,1340,6581,-5582,-385,-1030,5655,167,36,808
78791,55785236,51192868,55803908,51249156,3800,3800,1328,7762,-5317,-1425,-817,5153,189,39,807
79792,55786168,51192964,55804770,51250018,3800,3800,1356,8786,-5027,-2556,-1008,4969,189,39,807
80794,55787028,51193080,55805632,51250880,3800,3800,1322,9914,-4661,-2662,-1332,5380,176,42,808
81794,55787804,51193200,55806494,51251742,3800,3800,1196,11207,-4159,-2497,-1476,5378,176,42,808
82796,55788588,51193300,55807356,51252604,3800,3800,1149,12319,-3551,-2605,-1387,4101,181,37,806
